Area Code (Location),Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Type,ProductId (Product),Product Id,Product,Profit,Sales,State,Total Expenses,Type
712,712,190,210,140,400,228,01-01-2010 00:00:00,1459,228,Small Market,Central,63,1,Tea,11,11,Darjeeling,141,456,Iowa,87,Regular
319,319,210,270,160,480,245,01-01-2010 00:00:00,1419,301,Small Market,Central,93,1,Tea,12,12,Earl Grey,175,546,Iowa,126,Regular
636,636,90,100,40,190,85,01-01-2010 00:00:00,494,105,Small Market,Central,32,1,Coffee,2,2,Columbian,39,190,Missouri,66,Regular
573,573,80,90,50,170,78,01-01-2010 00:00:00,965,92,Small Market,Central,24,1,Coffee,3,3,Decaf Irish Cream,47,170,Missouri,45,Decaf
417,417,20,40,0,60,34,01-01-2010 00:00:00,197,42,Small Market,Central,12,1,Tea,13,13,Green Tea,-4,76,Missouri,46,Regular
573,573,50,90,70,140,50,01-01-2010 00:00:00,821,73,Small Market,Central,14,1,Espresso,5,5,Caffe Mocha,48,123,Missouri,25,Regular
660,660,50,80,60,130,46,01-01-2010 00:00:00,777,68,Small Market,Central,12,1,Espresso,6,6,Decaf Espresso,45,114,Missouri,23,Decaf
573,573,30,40,0,70,37,01-01-2010 00:00:00,261,53,Small Market,Central,34,1,Herbal Tea,8,8,Chamomile,-11,90,Missouri,64,Decaf
314,314,70,10,-20,80,88,01-01-2010 00:00:00,525,11,Small Market,Central,27,1,Herbal Tea,9,9,Lemon,-39,99,Missouri,50,Decaf
314,314,30,40,10,70,35,01-01-2010 00:00:00,196,47,Small Market,Central,11,1,Tea,11,11,Darjeeling,9,82,Missouri,38,Regular
573,573,20,30,-10,50,29,01-01-2010 00:00:00,169,36,Small Market,Central,11,1,Tea,12,12,Earl Grey,-9,65,Missouri,45,Regular
740,740,60,80,50,140,60,01-01-2010 00:00:00,336,80,Major Market,Central,19,1,Coffee,1,1,Amaretto,34,140,Ohio,46,Regular
614,614,60,80,50,140,57,01-01-2010 00:00:00,364,83,Major Market,Central,18,1,Coffee,2,2,Columbian,42,140,Ohio,41,Regular
614,614,60,90,20,150,63,01-01-2010 00:00:00,435,87,Major Market,Central,57,1,Coffee,3,3,Decaf Irish Cream,0,150,Ohio,87,Decaf
216,216,70,100,60,170,84,01-01-2010 00:00:00,500,116,Major Market,Central,26,1,Tea,12,12,Earl Grey,67,200,Ohio,49,Regular
614,614,60,90,40,150,58,01-01-2010 00:00:00,338,72,Major Market,Central,22,1,Espresso,6,6,Decaf Espresso,16,130,Ohio,56,Decaf
614,614,190,210,140,400,170,01-01-2010 00:00:00,1091,171,Major Market,Central,47,1,Espresso,5,5,Caffe Mocha,99,341,Ohio,72,Regular
937,937,20,50,50,70,32,01-01-2010 00:00:00,456,48,Major Market,Central,8,1,Herbal Tea,8,8,Chamomile,29,80,Ohio,19,Decaf
740,740,20,50,50,70,32,01-01-2010 00:00:00,821,48,Major Market,Central,8,1,Herbal Tea,9,9,Lemon,29,80,Ohio,19,Decaf
567,567,70,110,60,180,84,01-01-2010 00:00:00,651,126,Major Market,Central,27,1,Tea,11,11,Darjeeling,68,210,Ohio,58,Regular
262,262,50,70,30,120,54,01-01-2010 00:00:00,312,66,Small Market,Central,20,1,Coffee,1,1,Amaretto,13,120,Wisconsin,53,Regular
262,262,80,110,20,190,79,01-01-2010 00:00:00,551,111,Small Market,Central,72,1,Coffee,2,2,Columbian,9,190,Wisconsin,102,Regular
414,414,80,100,60,180,77,01-01-2010 00:00:00,432,103,Small Market,Central,25,1,Coffee,3,3,Decaf Irish Cream,51,180,Wisconsin,52,Decaf
262,262,60,90,10,150,75,01-01-2010 00:00:00,522,105,Small Market,Central,68,1,Tea,12,12,Earl Grey,7,180,Wisconsin,98,Regular
262,262,50,70,50,120,48,01-01-2010 00:00:00,623,62,Small Market,Central,15,1,Espresso,6,6,Decaf Espresso,34,110,Wisconsin,28,Decaf
414,414,80,90,50,170,69,01-01-2010 00:00:00,965,81,Small Market,Central,21,1,Espresso,5,5,Caffe Mocha,38,150,Wisconsin,43,Regular
715,715,50,100,80,150,67,01-01-2010 00:00:00,400,113,Small Market,Central,20,1,Herbal Tea,8,8,Chamomile,70,180,Wisconsin,43,Decaf
715,715,20,50,50,70,33,01-01-2010 00:00:00,777,48,Small Market,Central,9,1,Herbal Tea,9,9,Lemon,28,81,Wisconsin,20,Decaf
608,608,50,80,50,130,61,01-01-2010 00:00:00,390,89,Small Market,Central,19,1,Tea,11,11,Darjeeling,47,150,Wisconsin,42,Regular
475,475,50,80,60,130,50,01-01-2010 00:00:00,821,73,Small Market,East,14,1,Tea,11,11,Darjeeling,47,123,Connecticut,26,Regular
475,475,40,60,40,100,38,01-01-2010 00:00:00,777,56,Small Market,East,10,1,Tea,13,13,Green Tea,35,94,Connecticut,21,Regular
475,475,50,70,40,120,55,01-01-2010 00:00:00,312,75,Small Market,East,18,1,Espresso,6,6,Decaf Espresso,30,130,Connecticut,45,Decaf
860,860,70,100,20,170,75,01-01-2010 00:00:00,522,105,Small Market,East,68,1,Espresso,5,5,Caffe Mocha,7,180,Connecticut,98,Regular
475,475,110,180,130,290,124,01-01-2010 00:00:00,961,186,Small Market,East,40,1,Coffee,2,2,Columbian,115,310,Connecticut,71,Regular
860,860,60,80,40,140,85,01-01-2010 00:00:00,494,105,Small Market,East,32,1,Herbal Tea,9,9,Lemon,40,190,Connecticut,65,Decaf
475,475,50,80,50,130,78,01-01-2010 00:00:00,965,92,Small Market,East,24,1,Herbal Tea,10,10,Mint,47,170,Connecticut,45,Decaf
954,954,30,50,40,80,32,01-01-2010 00:00:00,821,48,Major Market,East,8,1,Tea,11,11,Darjeeling,28,80,Florida,20,Regular
754,754,30,50,40,80,33,01-01-2010 00:00:00,777,48,Major Market,East,9,1,Tea,13,13,Green Tea,28,81,Florida,20,Regular
754,754,70,100,60,170,77,01-01-2010 00:00:00,432,103,Major Market,East,25,1,Espresso,6,6,Decaf Espresso,50,180,Florida,53,Decaf
239,239,70,110,30,180,79,01-01-2010 00:00:00,551,111,Major Market,East,72,1,Espresso,5,5,Caffe Mocha,9,190,Florida,102,Regular
754,754,80,110,70,190,84,01-01-2010 00:00:00,500,116,Major Market,East,26,1,Coffee,3,3,Decaf Irish Cream,67,200,Florida,49,Decaf
954,954,80,110,70,190,84,01-01-2010 00:00:00,651,126,Major Market,East,27,1,Coffee,2,2,Columbian,68,210,Florida,58,Regular
863,863,30,50,30,80,48,01-01-2010 00:00:00,623,62,Major Market,East,15,1,Herbal Tea,8,8,Chamomile,34,110,Florida,28,Decaf
239,239,40,50,20,90,54,01-01-2010 00:00:00,312,66,Major Market,East,20,1,Herbal Tea,9,9,Lemon,13,120,Florida,53,Decaf
772,772,50,60,40,110,69,01-01-2010 00:00:00,965,81,Major Market,East,21,1,Herbal Tea,10,10,Mint,39,150,Florida,42,Decaf
508,508,30,50,40,80,32,01-01-2010 00:00:00,821,48,Major Market,East,8,1,Tea,11,11,Darjeeling,29,80,Massachusetts,19,Regular
781,781,30,50,40,80,32,01-01-2010 00:00:00,456,48,Major Market,East,8,1,Tea,13,13,Green Tea,29,80,Massachusetts,19,Regular
978,978,160,170,110,330,170,01-01-2010 00:00:00,1091,171,Major Market,East,47,1,Espresso,7,7,Regular Espresso,100,341,Massachusetts,71,Regular
781,781,60,60,-10,120,63,01-01-2010 00:00:00,435,63,Major Market,East,57,1,Espresso,5,5,Caffe Mocha,-23,126,Massachusetts,86,Regular
413,413,60,400,360,460,72,01-01-2010 00:00:00,558,422,Major Market,East,23,1,Coffee,2,2,Columbian,367,494,Massachusetts,55,Regular
339,339,40,60,30,100,58,01-01-2010 00:00:00,338,72,Major Market,East,22,1,Herbal Tea,9,9,Lemon,17,130,Massachusetts,55,Decaf
603,603,10,30,20,40,18,01-01-2010 00:00:00,821,27,Small Market,East,5,1,Tea,11,11,Darjeeling,10,45,New Hampshire,17,Regular
603,603,10,30,20,40,17,01-01-2010 00:00:00,777,26,Small Market,East,4,1,Tea,13,13,Green Tea,11,43,New Hampshire,15,Regular
603,603,20,40,0,60,29,01-01-2010 00:00:00,169,36,Small Market,East,11,1,Espresso,7,7,Regular Espresso,-8,65,New Hampshire,44,Regular
603,603,30,50,0,80,37,01-01-2010 00:00:00,261,53,Small Market,East,34,1,Espresso,5,5,Caffe Mocha,-10,90,New Hampshire,63,Regular
603,603,30,50,30,80,38,01-01-2010 00:00:00,241,55,Small Market,East,12,1,Coffee,1,1,Amaretto,20,93,New Hampshire,35,Regular
603,603,40,70,40,110,48,01-01-2010 00:00:00,372,72,Small Market,East,15,1,Coffee,2,2,Columbian,25,120,New Hampshire,47,Regular
603,603,20,30,0,50,34,01-01-2010 00:00:00,197,42,Small Market,East,12,1,Herbal Tea,9,9,Lemon,-4,76,New Hampshire,46,Decaf
347,347,100,150,120,250,95,01-01-2010 00:00:00,821,139,Major Market,East,26,1,Tea,11,11,Darjeeling,101,234,New York,38,Regular
646,646,90,140,110,230,89,01-01-2010 00:00:00,777,130,Major Market,East,24,1,Tea,12,12,Earl Grey,94,219,New York,36,Regular
347,347,50,90,70,140,54,01-01-2010 00:00:00,456,80,Major Market,East,15,1,Tea,13,13,Green Tea,54,134,New York,26,Regular
631,631,210,270,200,480,228,01-01-2010 00:00:00,1459,262,Major Market,East,63,1,Espresso,7,7,Regular Espresso,175,490,New York,87,Regular
315,315,100,-50,-170,50,105,01-01-2010 00:00:00,725,-44,Major Market,East,95,1,Espresso,5,5,Caffe Mocha,-172,61,New York,128,Regular
716,716,260,380,260,640,271,01-01-2010 00:00:00,2101,407,Major Market,East,94,1,Coffee,2,2,Columbian,262,678,New York,145,Regular
607,607,180,190,100,370,245,01-01-2010 00:00:00,1419,238,Major Market,East,93,1,Herbal Tea,9,9,Lemon,111,483,New York,127,Decaf
845,845,150,-10,-70,140,207,01-01-2010 00:00:00,965,-27,Major Market,East,64,1,Herbal Tea,10,10,Mint,-113,180,New York,86,Decaf
337,337,50,100,80,150,67,01-01-2010 00:00:00,400,113,Small Market,South,20,1,Espresso,5,5,Caffe Mocha,70,180,Louisiana,43,Regular
337,337,50,70,50,120,61,01-01-2010 00:00:00,390,89,Small Market,South,19,1,Espresso,6,6,Decaf Espresso,48,150,Louisiana,41,Decaf
337,337,40,60,40,100,49,01-01-2010 00:00:00,623,63,Small Market,South,16,1,Herbal Tea,8,8,Chamomile,35,112,Louisiana,28,Decaf
504,504,80,100,40,180,85,01-01-2010 00:00:00,494,105,Small Market,South,32,1,Herbal Tea,9,9,Lemon,40,190,Louisiana,65,Decaf
504,504,60,90,10,150,75,01-01-2010 00:00:00,522,105,Small Market,South,68,1,Espresso,4,4,Caffe Latte,8,180,Louisiana,97,Regular
225,225,40,60,50,100,34,01-01-2010 00:00:00,777,51,Small Market,South,9,1,Coffee,2,2,Columbian,30,85,Louisiana,21,Regular
985,985,40,60,50,100,33,01-01-2010 00:00:00,777,48,Small Market,South,9,1,Coffee,3,3,Decaf Irish Cream,28,81,Louisiana,20,Decaf
505,505,30,40,-10,70,37,01-01-2010 00:00:00,261,53,Small Market,South,34,1,Espresso,5,5,Caffe Mocha,-10,90,New Mexico,63,Regular
505,505,30,40,10,70,35,01-01-2010 00:00:00,196,47,Small Market,South,11,1,Espresso,6,6,Decaf Espresso,9,82,New Mexico,38,Decaf
505,505,10,30,20,40,18,01-01-2010 00:00:00,821,27,Small Market,South,5,1,Herbal Tea,8,8,Chamomile,11,45,New Mexico,16,Decaf
505,505,20,40,20,60,28,01-01-2010 00:00:00,965,34,Small Market,South,8,1,Herbal Tea,9,9,Lemon,4,62,New Mexico,30,Decaf
505,505,20,30,0,50,29,01-01-2010 00:00:00,169,36,Small Market,South,11,1,Espresso,4,4,Caffe Latte,-8,65,New Mexico,44,Regular
505,505,60,90,50,150,48,01-01-2010 00:00:00,372,72,Small Market,South,15,1,Coffee,2,2,Columbian,26,120,New Mexico,46,Regular
505,505,110,10,-30,120,88,01-01-2010 00:00:00,525,11,Small Market,South,27,1,Coffee,3,3,Decaf Irish Cream,-39,99,New Mexico,50,Decaf
405,405,20,40,40,60,32,01-01-2010 00:00:00,456,48,Small Market,South,8,1,Espresso,5,5,Caffe Mocha,28,80,Oklahoma,20,Regular
405,405,70,110,70,180,84,01-01-2010 00:00:00,651,126,Small Market,South,27,1,Espresso,6,6,Decaf Espresso,67,210,Oklahoma,59,Decaf
918,918,50,60,20,110,54,01-01-2010 00:00:00,312,66,Small Market,South,20,1,Herbal Tea,8,8,Chamomile,13,120,Oklahoma,53,Decaf
580,580,70,110,30,180,79,01-01-2010 00:00:00,551,111,Small Market,South,72,1,Herbal Tea,9,9,Lemon,10,190,Oklahoma,101,Decaf
405,405,70,100,70,170,84,01-01-2010 00:00:00,500,116,Small Market,South,26,1,Espresso,4,4,Caffe Latte,66,200,Oklahoma,50,Regular
580,580,50,70,50,120,44,01-01-2010 00:00:00,623,56,Small Market,South,14,1,Coffee,2,2,Columbian,29,100,Oklahoma,27,Regular
580,580,40,60,50,100,32,01-01-2010 00:00:00,821,48,Small Market,South,8,1,Coffee,3,3,Decaf Irish Cream,28,80,Oklahoma,20,Decaf
325,325,70,110,90,180,89,01-01-2010 00:00:00,777,130,Major Market,South,24,1,Espresso,5,5,Caffe Mocha,95,219,Texas,35,Regular
956,956,40,70,60,110,54,01-01-2010 00:00:00,456,80,Major Market,South,15,1,Espresso,6,6,Decaf Espresso,54,134,Texas,26,Decaf
281,281,50,80,50,130,60,01-01-2010 00:00:00,336,80,Major Market,South,19,1,Herbal Tea,8,8,Chamomile,33,140,Texas,47,Decaf
254,254,50,80,50,130,57,01-01-2010 00:00:00,364,83,Major Market,South,18,1,Herbal Tea,9,9,Lemon,42,140,Texas,41,Decaf
830,830,60,90,50,150,72,01-01-2010 00:00:00,558,108,Major Market,South,23,1,Espresso,4,4,Caffe Latte,53,180,Texas,55,Regular
409,409,260,300,220,560,207,01-01-2010 00:00:00,965,245,Major Market,South,64,1,Coffee,2,2,Columbian,159,452,Texas,86,Regular
325,325,100,130,100,230,83,01-01-2010 00:00:00,623,107,Major Market,South,27,1,Coffee,3,3,Decaf Irish Cream,68,190,Texas,39,Decaf
435,435,40,60,40,100,46,01-01-2010 00:00:00,777,68,Small Market,West,12,1,Espresso,4,4,Caffe Latte,44,114,Utah,24,Regular
435,435,40,60,40,100,49,01-01-2010 00:00:00,623,63,Small Market,West,16,1,Espresso,5,5,Caffe Mocha,34,112,Utah,29,Regular
435,435,40,70,50,110,50,01-01-2010 00:00:00,821,73,Small Market,West,14,1,Espresso,6,6,Decaf Espresso,47,123,Utah,26,Decaf
801,801,30,50,30,80,38,01-01-2010 00:00:00,241,55,Small Market,West,12,1,Herbal Tea,8,8,Chamomile,21,93,Utah,34,Decaf
435,435,40,60,30,100,48,01-01-2010 00:00:00,372,72,Small Market,West,15,1,Herbal Tea,9,9,Lemon,25,120,Utah,47,Decaf
435,435,70,10,-30,80,88,01-01-2010 00:00:00,525,11,Small Market,West,27,1,Herbal Tea,10,10,Mint,-40,99,Utah,51,Decaf
435,435,20,40,0,60,37,01-01-2010 00:00:00,261,53,Small Market,West,34,1,Tea,11,11,Darjeeling,-10,90,Utah,63,Regular
435,435,20,30,10,50,35,01-01-2010 00:00:00,196,47,Small Market,West,11,1,Tea,12,12,Earl Grey,9,82,Utah,38,Regular
435,435,10,30,10,40,29,01-01-2010 00:00:00,169,36,Small Market,West,11,1,Tea,13,13,Green Tea,-9,65,Utah,45,Regular
801,801,90,120,80,210,78,01-01-2010 00:00:00,965,92,Small Market,West,24,1,Coffee,1,1,Amaretto,47,170,Utah,45,Regular
435,435,60,100,70,160,55,01-01-2010 00:00:00,312,75,Small Market,West,18,1,Coffee,2,2,Columbian,30,130,Utah,45,Regular
801,801,100,130,70,230,85,01-01-2010 00:00:00,494,105,Small Market,West,32,1,Coffee,3,3,Decaf Irish Cream,39,190,Utah,66,Decaf
661,661,210,220,150,430,228,01-01-2010 00:00:00,1459,228,Major Market,West,63,1,Espresso,4,4,Caffe Latte,140,456,California,88,Regular
818,818,100,140,20,240,105,01-01-2010 00:00:00,725,145,Major Market,West,95,1,Espresso,5,5,Caffe Mocha,17,250,California,128,Regular
213,213,220,300,200,520,234,01-01-2010 00:00:00,1310,312,Major Market,West,77,1,Espresso,6,6,Decaf Espresso,203,546,California,109,Decaf
510,510,80,120,100,200,95,01-01-2010 00:00:00,821,139,Major Market,West,26,1,Herbal Tea,8,8,Chamomile,102,234,California,37,Decaf
310,310,170,220,160,390,207,01-01-2010 00:00:00,965,245,Major Market,West,64,1,Herbal Tea,9,9,Lemon,160,452,California,85,Decaf
707,707,70,90,60,160,83,01-01-2010 00:00:00,623,107,Major Market,West,27,1,Herbal Tea,10,10,Mint,67,190,California,40,Decaf
619,619,50,90,80,140,89,01-01-2010 00:00:00,777,130,Major Market,West,24,1,Tea,11,11,Darjeeling,94,219,California,36,Regular
650,650,30,60,60,90,54,01-01-2010 00:00:00,456,80,Major Market,West,15,1,Tea,12,12,Earl Grey,54,134,California,26,Regular
760,760,40,80,50,120,72,01-01-2010 00:00:00,558,108,Major Market,West,23,1,Tea,13,13,Green Tea,54,180,California,54,Regular
916,916,110,70,30,180,95,01-01-2010 00:00:00,608,50,Major Market,West,30,1,Coffee,1,1,Amaretto,-2,145,California,52,Regular
559,559,340,500,370,840,271,01-01-2010 00:00:00,2101,407,Major Market,West,94,1,Coffee,2,2,Columbian,262,678,California,145,Regular
650,650,180,-40,-120,140,144,01-01-2010 00:00:00,862,-26,Major Market,West,47,1,Coffee,3,3,Decaf Irish Cream,-117,118,California,91,Decaf
775,775,10,30,20,40,17,01-01-2010 00:00:00,777,26,Small Market,West,4,1,Espresso,4,4,Caffe Latte,11,43,Nevada,15,Regular
702,702,10,30,20,40,18,01-01-2010 00:00:00,821,27,Small Market,West,5,1,Espresso,5,5,Caffe Mocha,10,45,Nevada,17,Regular
775,775,10,30,20,40,17,01-01-2010 00:00:00,777,26,Small Market,West,4,1,Espresso,6,6,Decaf Espresso,11,43,Nevada,15,Decaf
775,775,30,40,20,70,28,01-01-2010 00:00:00,965,34,Small Market,West,8,1,Coffee,3,3,Decaf Irish Cream,4,62,Nevada,30,Decaf
702,702,90,130,30,220,105,01-01-2010 00:00:00,725,145,Small Market,West,95,1,Herbal Tea,8,8,Chamomile,16,250,Nevada,129,Decaf
775,775,120,180,120,300,144,01-01-2010 00:00:00,862,201,Small Market,West,47,1,Herbal Tea,9,9,Lemon,111,345,Nevada,90,Decaf
702,702,80,120,90,200,95,01-01-2010 00:00:00,608,139,Small Market,West,30,1,Herbal Tea,10,10,Mint,86,234,Nevada,53,Decaf
775,775,150,220,150,370,234,01-01-2010 00:00:00,1310,312,Small Market,West,77,1,Tea,11,11,Darjeeling,203,546,Nevada,109,Regular
775,775,150,160,100,310,228,01-01-2010 00:00:00,1459,228,Small Market,West,63,1,Tea,12,12,Earl Grey,141,456,Nevada,87,Regular
702,702,160,-160,-240,0,245,01-01-2010 00:00:00,1419,-245,Small Market,West,93,1,Tea,13,13,Green Tea,-354,17,Nevada,126,Regular
702,702,40,50,10,90,34,01-01-2010 00:00:00,197,42,Small Market,West,12,1,Coffee,2,2,Columbian,-3,76,Nevada,45,Regular
503,503,50,70,20,120,58,01-01-2010 00:00:00,338,72,Small Market,West,22,1,Espresso,4,4,Caffe Latte,16,130,Oregon,56,Regular
503,503,50,80,50,130,60,01-01-2010 00:00:00,336,80,Small Market,West,19,1,Espresso,5,5,Caffe Mocha,33,140,Oregon,47,Regular
971,971,160,160,100,320,170,01-01-2010 00:00:00,1091,171,Small Market,West,47,1,Espresso,6,6,Decaf Espresso,99,341,Oregon,72,Decaf
971,971,70,100,70,170,57,01-01-2010 00:00:00,364,83,Small Market,West,18,1,Coffee,3,3,Decaf Irish Cream,42,140,Oregon,41,Decaf
971,971,30,40,40,70,36,01-01-2010 00:00:00,777,54,Small Market,West,10,1,Herbal Tea,8,8,Chamomile,33,90,Oregon,21,Decaf
503,503,30,50,30,80,44,01-01-2010 00:00:00,623,56,Small Market,West,14,1,Herbal Tea,9,9,Lemon,29,100,Oregon,27,Decaf
971,971,20,30,30,50,32,01-01-2010 00:00:00,456,48,Small Market,West,8,1,Tea,11,11,Darjeeling,28,80,Oregon,20,Regular
503,503,50,90,60,140,84,01-01-2010 00:00:00,651,126,Small Market,West,27,1,Tea,12,12,Earl Grey,68,210,Oregon,58,Regular
541,541,50,80,50,130,84,01-01-2010 00:00:00,500,116,Small Market,West,26,1,Tea,13,13,Green Tea,67,200,Oregon,49,Regular
541,541,70,110,40,180,63,01-01-2010 00:00:00,435,87,Small Market,West,57,1,Coffee,1,1,Amaretto,1,150,Oregon,86,Regular
503,503,80,120,60,200,67,01-01-2010 00:00:00,400,93,Small Market,West,22,1,Coffee,2,2,Columbian,28,160,Oregon,65,Regular
425,425,40,60,40,100,48,01-01-2010 00:00:00,623,62,Small Market,West,15,1,Espresso,4,4,Caffe Latte,35,110,Washington,27,Regular
253,253,50,60,20,110,54,01-01-2010 00:00:00,312,66,Small Market,West,20,1,Espresso,5,5,Caffe Mocha,13,120,Washington,53,Regular
206,206,60,80,60,140,69,01-01-2010 00:00:00,965,81,Small Market,West,21,1,Espresso,6,6,Decaf Espresso,39,150,Washington,42,Decaf
509,509,90,140,60,230,79,01-01-2010 00:00:00,551,111,Small Market,West,72,1,Coffee,3,3,Decaf Irish Cream,9,190,Washington,102,Decaf
206,206,100,170,120,270,124,01-01-2010 00:00:00,961,186,Small Market,West,40,1,Herbal Tea,8,8,Chamomile,115,310,Washington,71,Decaf
360,360,20,50,50,70,34,01-01-2010 00:00:00,777,51,Small Market,West,9,1,Herbal Tea,9,9,Lemon,30,85,Washington,21,Decaf
360,360,40,80,50,120,67,01-01-2010 00:00:00,400,113,Small Market,West,20,1,Tea,11,11,Darjeeling,70,180,Washington,43,Regular
253,253,40,60,40,100,61,01-01-2010 00:00:00,390,89,Small Market,West,19,1,Tea,12,12,Earl Grey,48,150,Washington,41,Regular
360,360,40,80,20,120,75,01-01-2010 00:00:00,522,105,Small Market,West,68,1,Tea,13,13,Green Tea,8,180,Washington,97,Regular
206,206,60,100,70,160,53,01-01-2010 00:00:00,338,77,Small Market,West,16,1,Coffee,2,2,Columbian,38,130,Washington,39,Regular
303,303,100,150,120,250,99,01-02-2010 00:00:00,766,144,Major Market,Central,27,1,Coffee,1,1,Amaretto,105,243,Colorado,39,Regular
720,720,80,110,80,190,83,01-02-2010 00:00:00,613,107,Major Market,Central,27,1,Coffee,2,2,Columbian,68,190,Colorado,39,Regular
719,719,100,140,110,240,95,01-02-2010 00:00:00,809,137,Major Market,Central,26,1,Coffee,3,3,Decaf Irish Cream,99,232,Colorado,38,Decaf
970,970,30,50,30,80,44,01-02-2010 00:00:00,618,56,Major Market,Central,14,1,Tea,13,13,Green Tea,30,100,Colorado,26,Regular
970,970,80,140,110,220,77,01-02-2010 00:00:00,449,112,Major Market,Central,21,1,Espresso,5,5,Caffe Mocha,80,189,Colorado,32,Regular
303,303,80,140,90,220,75,01-02-2010 00:00:00,549,114,Major Market,Central,24,1,Espresso,6,6,Decaf Espresso,59,189,Colorado,55,Decaf
970,970,140,150,100,290,170,01-02-2010 00:00:00,1073,170,Major Market,Central,47,1,Herbal Tea,8,8,Chamomile,99,340,Colorado,71,Decaf
